City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp.,Wind Speed
0,butaritari,56,KI,2018-11-20,100,3.07,172.79,82.28,6.2
1,tecoanapa,5,MX,2018-11-20,62,16.99,-99.26,87.8,4.7
2,khatanga,80,RU,2018-11-20,81,71.98,102.47,-1.83,9.33
3,muisne,20,EC,2018-11-20,63,0.61,-80.02,86.6,8.48
4,dikson,48,RU,2018-11-20,94,73.51,80.55,4.57,12.35
5,caravelas,76,BR,2018-11-20,98,-17.73,-39.27,80.12,12.46
6,nouadhibou,0,MR,2018-11-20,82,20.93,-17.03,68,12.75
7,new norfolk,90,AU,2018-11-20,93,-42.78,147.06,60.8,5.82
8,cherskiy,48,RU,2018-11-20,66,68.75,161.3,-22.26,2.17
9,punta arenas,90,CL,2018-11-20,87,-53.16,-70.91,44.6,8.05
10,ushuaia,75,AR,2018-11-20,57,-54.81,-68.31,50,14.99
11,albany,90,US,2018-11-20,88,42.65,-73.75,35.96,4.7
12,rikitea,76,PF,2018-11-20,100,-23.12,-134.97,72.65,9.71
13,faanui,0,PF,2018-11-20,98,-16.48,-151.75,82.6,10.6
14,kununurra,32,AU,2018-11-20,88,-15.77,128.74,80.6,6.93
15,dingle,64,PH,2018-11-20,91,11,122.67,76.57,15.03
16,esperance,40,TT,2018-11-20,88,10.24,-61.45,82.4,23.04
17,hilo,90,US,2018-11-20,84,19.71,-155.08,69.08,4.7
18,vaini,48,IN,2018-11-20,95,15.34,74.49,70.27,4.12
19,port moresby,20,PG,2018-11-20,96,-9.47,147.16,79.9,15.48
20,georgetown,90,GY,2018-11-20,88,6.8,-58.16,80.6,4.7
21,barkhan,0,PK,2018-11-20,84,29.9,69.52,43.45,2.66
22,srednekolymsk,56,RU,2018-11-20,75,67.46,153.71,-17.13,2.55
23,kapaa,90,US,2018-11-20,62,22.08,-159.32,77,18.34
24,chuy,0,UY,2018-11-20,63,-33.69,-53.46,79.45,10.6
25,lima,8,PE,2018-11-20,46,-12.06,-77.04,73.33,3.18
26,arraial do cabo,75,BR,2018-11-20,78,-22.97,-42.02,73.4,2.24
27,waipawa,32,NZ,2018-11-20,95,-39.94,176.59,44.48,4.12
28,avarua,40,CK,2018-11-20,73,-21.21,-159.78,77,8.05
29,hervey bay,0,AU,2018-11-20,100,-25.3,152.85,73.1,12.17
30,koster,32,ZA,2018-11-20,32,-25.86,26.9,77.78,8.43
31,busselton,20,AU,2018-11-20,100,-33.64,115.35,56.32,11.45
32,kikwit,92,CD,2018-11-20,97,-5.04,18.82,70.9,7.58
33,aklavik,90,CA,2018-11-20,92,68.22,-135.01,19.4,9.17
34,east london,75,ZA,2018-11-20,77,-33.02,27.91,68,16.11
